zip_house,below_pov,mhhi,nwperc,hperc,disperc,ueperc,lghhperc,aff_home_perc,aff_rent_perc,rru_perc,medianrent,medianhomevalue,housing_delta,aru_artis,aou_artis,aru_teacher,aou_teacher,aru_tech,aou_tech,pov_delta,med_rent_delta,median_hv_delta,tx_prox,mean_transpo_cost
78739,1%,126525,0.14,0.15,0.04,0.04,0.13,0.00,0.00,0.00,2000,350500,1.08,0.00,0.00,0.08,0.00,0.71,0.11,0.46,0.00,0.72,0.08,786
78717,3%,93305,0.25,0.14,0.04,0.05,0.09,0.07,0.01,0.00,1018,243200,2.30,0.09,0.00,0.70,0.06,0.98,0.67,6.38,0.02,0.33,0.03,708
78732,3%,127726,0.13,0.09,0.03,0.05,0.15,0.00,0.00,0.00,1688,388600,2.39,0.00,0.00,0.26,0.00,0.80,0.15,12.42,1.05,0.75,0.00,786
78730,4%,119573,0.13,0.05,0.04,0.03,0.09,0.19,0.00,0.00,1106,570400,0.78,0.03,0.01,0.64,0.17,0.99,0.25,2.83,0.22,0.44,0.02,786
78746,5%,125327,0.10,0.08,0.06,0.04,0.07,0.01,0.04,0.00,1221,619900,0.12,0.08,0.00,0.48,0.01,0.94,0.06,0.32,0.32,0.80,0.14,786
78735,6%,74571,0.09,0.20,0.07,0.04,0.10,0.08,0.04,0.05,1122,379900,0.64,0.07,0.02,0.62,0.05,0.97,0.23,0.96,0.04,0.85,0.09,747
78749,6%,80956,0.13,0.20,0.07,0.04,0.07,0.05,0.01,0.01,1150,233900,0.32,0.06,0.00,0.57,0.03,0.97,0.70,1.71,0.25,0.61,0.37,708
78750,7%,75958,0.16,0.16,0.09,0.06,0.06,0.19,0.02,0.00,1012,303100,0.32,0.15,0.05,0.70,0.15,0.99,0.51,1.04,0.20,0.64,0.21,747
78759,7%,65672,0.18,0.11,0.08,0.07,0.02,0.13,0.03,0.01,962,307800,0.01,0.18,0.03,0.75,0.13,0.99,0.45,0.60,0.07,0.60,0.28,629
78729,8%,57358,0.22,0.17,0.07,0.07,0.07,0.26,0.03,0.00,1008,192300,0.28,0.17,0.01,0.73,0.22,1.00,0.96,1.16,0.12,0.43,0.13,747
78726,9%,66096,0.16,0.20,0.03,0.04,0.02,0.00,0.01,0.00,1050,349900,1.18,0.08,0.00,0.70,0.00,0.99,0.17,3.75,0.20,0.55,0.02,786
78731,9%,78265,0.12,0.09,0.08,0.04,0.02,0.13,0.04,0.00,1016,436800,0.08,0.24,0.02,0.67,0.12,0.97,0.26,0.26,0.31,0.68,0.44,747
78748,9%,65889,0.10,0.35,0.09,0.06,0.08,0.29,0.04,0.07,1095,185500,0.74,0.12,0.00,0.63,0.22,1.00,0.92,2.60,0.29,0.58,0.40,747
78756,9%,59685,0.08,0.09,0.12,0.04,0.02,0.20,0.17,0.06,888,342300,0.08,0.34,0.03,0.76,0.19,0.99,0.37,-0.20,0.47,0.99,0.90,550
78703,10%,92606,0.09,0.09,0.06,0.04,0.04,0.03,0.11,0.00,1183,621900,0.01,0.25,0.00,0.51,0.02,0.92,0.13,0.07,0.65,1.04,0.67,629
78727,11%,65687,0.25,0.20,0.07,0.06,0.05,0.32,0.02,0.07,1050,198500,0.39,0.11,0.01,0.67,0.29,0.99,0.90,1.81,0.13,0.61,0.24,708
78754,11%,53274,0.36,0.32,0.08,0.09,0.07,0.70,0.04,0.09,969,167600,1.32,0.22,0.04,0.74,0.59,1.00,1.00,2.86,0.33,0.33,0.19,708
78728,14%,47405,0.26,0.28,0.09,0.06,0.04,0.46,0.04,0.06,901,168600,0.24,0.24,0.01,0.83,0.35,0.99,1.00,3.02,0.16,0.30,0.28,668
78745,16%,49243,0.07,0.40,0.11,0.07,0.06,0.33,0.08,0.07,990,166200,0.21,0.24,0.03,0.72,0.29,0.99,0.96,0.73,0.30,0.83,0.76,668
78757,16%,55156,0.05,0.25,0.10,0.06,0.05,0.21,0.08,0.04,895,253300,0.10,0.32,0.08,0.75,0.21,1.00,0.56,1.03,0.24,0.93,0.79,590
